,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
414,H.R. 7407,https://www.congress.gov/bill/117th-congress/house-bill/7407,117th Congress (2021-2022),Restaurant Revitalization Fund Fairness Act,"Rep. Roy, Chip [R-TX-21]",2022-04-05,,"House - Small Business, Appropriations","Referred to the Committee on Small Business, and in addition to the Committee on Appropriations, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
415,H.R. 7404,https://www.congress.gov/bill/117th-congress/house-bill/7404,117th Congress (2021-2022),The Real Emergencies Act,"Rep. McKinley, David B. [R-WV-1]",2022-04-05,,"House - Transportation and Infrastructure, Energy and Commerce","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Reupblican,April,2022
416,H.R. 7403,https://www.congress.gov/bill/117th-congress/house-bill/7403,117th Congress (2021-2022),NO RUSSIA Act of 2022,"Rep. Latta, Robert E. [R-OH-5]",2022-04-05,,"House - Energy and Commerce, Armed Services","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
417,H.R. 7402,https://www.congress.gov/bill/117th-congress/house-bill/7402,117th Congress (2021-2022),No U.S. Financing for Iran Act of 2022,"Rep. Huizenga, Bill [R-MI-2]",2022-04-05,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
418,H.R. 7399,https://www.congress.gov/bill/117th-congress/house-bill/7399,117th Congress (2021-2022),LBL Recreation and Heritage Act,"Rep. Comer, James [R-KY-1]",2022-04-05,,"House - Agriculture, Natural Resources",Subcommittee Hearings Held.,introduced,Reupblican,April,2022
419,H.R. 7397,https://www.congress.gov/bill/117th-congress/house-bill/7397,117th Congress (2021-2022),"To restart oil and gas leasing and permitting on Federal land, and for other purposes.","Rep. Burgess, Michael C. [R-TX-26]",2022-04-05,,"House - Natural Resources, Agriculture",Referred to the Subcommittee on Conservation and Forestry.,introduced,Reupblican,April,2022
420,H.R. 7396,https://www.congress.gov/bill/117th-congress/house-bill/7396,117th Congress (2021-2022),PLUS Act of 2022,"Rep. Budd, Ted [R-NC-13]",2022-04-05,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
421,H.R. 7380,https://www.congress.gov/bill/117th-congress/house-bill/7380,117th Congress (2021-2022),Cartel Haven Sanction Act,"Rep. Gosar, Paul A. [R-AZ-4]",2022-04-04,,"House - Foreign Affairs, Education and Labor, Energy and Commerce","Referred to the Committee on Foreign Affairs, and in addition to the Committees on Education and Labor, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
422,H.R. 7378,https://www.congress.gov/bill/117th-congress/house-bill/7378,117th Congress (2021-2022),"To amend title XIX of the Social Security Act to make permanent the State plan amendment option to provide medical assistance for certain individuals who are patients in certain institutions for mental diseases, and for other purposes.","Rep. Burgess, Michael C. [R-TX-26]",2022-04-04,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
423,H.R. 7377,https://www.congress.gov/bill/117th-congress/house-bill/7377,117th Congress (2021-2022),Modernizing Therapeutic Equivalence Rating Determination Act,"Rep. Curtis, John R. [R-UT-3]",2022-04-04,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
424,H.R. 7373,https://www.congress.gov/bill/117th-congress/house-bill/7373,117th Congress (2021-2022),SNACK Act,"Rep. Walorski, Jackie [R-IN-2]",2022-04-01,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
425,H.R. 7366,https://www.congress.gov/bill/117th-congress/house-bill/7366,117th Congress (2021-2022),No User Fees for Gun Owners Act,"Rep. Jackson, Ronny [R-TX-13]",2022-04-01,,"House - Ways and Means, Judiciary","Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
426,H.R. 7365,https://www.congress.gov/bill/117th-congress/house-bill/7365,117th Congress (2021-2022),Flexibility for Workers Education Act,"Rep. Hinson, Ashley [R-IA-1]",2022-04-01,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
427,H.R. 7364,https://www.congress.gov/bill/117th-congress/house-bill/7364,117th Congress (2021-2022),Stop Flood Insurance Rate Hikes Act,"Rep. Graves, Garret [R-LA-6]",2022-04-01,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
428,H.R. 7363,https://www.congress.gov/bill/117th-congress/house-bill/7363,117th Congress (2021-2022),Innocent Landowners Protection Act,"Rep. Gibbs, Bob [R-OH-7]",2022-04-01,,House - Transportation and Infrastructure,Referred to the Subcommittee on Coast Guard and Maritime Transportation.,introduced,Reupblican,April,2022
429,H.R. 7362,https://www.congress.gov/bill/117th-congress/house-bill/7362,117th Congress (2021-2022),Cell Phone Theft Prevention Act of 2022,"Rep. Garbarino, Andrew R. [R-NY-2]",2022-04-01,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
430,H.R. 7361,https://www.congress.gov/bill/117th-congress/house-bill/7361,117th Congress (2021-2022),National Weather Service Communications Improvement Act,"Rep. Feenstra, Randy [R-IA-4]",2022-04-01,,"House - Science, Space, and Technology","Placed on the Union Calendar, Calendar No. 319.",introduced,Reupblican,April,2022
431,H.R. 7359,https://www.congress.gov/bill/117th-congress/house-bill/7359,117th Congress (2021-2022),Stop Fentanyl Border Crossings Act,"Rep. DesJarlais, Scott [R-TN-4]",2022-04-01,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
432,H.R. 7357,https://www.congress.gov/bill/117th-congress/house-bill/7357,117th Congress (2021-2022),REACT Act,"Rep. Burgess, Michael C. [R-TX-26]",2022-04-01,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,April,2022
433,H.R. 7356,https://www.congress.gov/bill/117th-congress/house-bill/7356,117th Congress (2021-2022),TPS Reform Act of 2022,"Rep. Brooks, Mo [R-AL-5]",2022-04-01,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
434,H.R. 7355,https://www.congress.gov/bill/117th-congress/house-bill/7355,117th Congress (2021-2022),Stopping Excessive Climate Reporting Act,"Rep. Van Duyne, Beth [R-TX-24]",2022-04-01,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
435,H.R. 7354,https://www.congress.gov/bill/117th-congress/house-bill/7354,117th Congress (2021-2022),Preventing Terrorist Sympathizers from Appeasing Terrorists Act,"Rep. Perry, Scott [R-PA-10]",2022-04-01,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
436,H.R. 7353,https://www.congress.gov/bill/117th-congress/house-bill/7353,117th Congress (2021-2022),Telehealth Benefit Expansion for Workers Act of 2022,"Rep. Walorski, Jackie [R-IN-2]",2022-03-31,,"House - Energy and Commerce, Education and Labor, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and Labor, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,March,2022
437,H.R. 7349,https://www.congress.gov/bill/117th-congress/house-bill/7349,117th Congress (2021-2022),Validate Prior Learning to Accelerate Employment Act,"Rep. Stefanik, Elise M. [R-NY-21]",2022-03-31,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,March,2022
438,H.R. 7346,https://www.congress.gov/bill/117th-congress/house-bill/7346,117th Congress (2021-2022),John W. Walsh Alpha-1 Home Infusion Act of 2022,"Rep. Salazar, Maria Elvira [R-FL-27]",2022-03-31,,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,March,2022
439,H.R. 7344,https://www.congress.gov/bill/117th-congress/house-bill/7344,117th Congress (2021-2022),Ports Not Windmills Act,"Rep. Perry, Scott [R-PA-10]",2022-03-31,,House - Transportation and Infrastructure,Referred to the Subcommittee on Coast Guard and Maritime Transportation.,introduced,Reupblican,March,2022
440,H.R. 7343,https://www.congress.gov/bill/117th-congress/house-bill/7343,117th Congress (2021-2022),American Petroleum First Act,"Rep. Perry, Scott [R-PA-10]",2022-03-31,,House - Transportation and Infrastructure,Referred to the Subcommittee on Coast Guard and Maritime Transportation.,introduced,Reupblican,March,2022
441,H.R. 7341,https://www.congress.gov/bill/117th-congress/house-bill/7341,117th Congress (2021-2022),System Transparency and Accountability for the IRS Act,"Rep. Newhouse, Dan [R-WA-4]",2022-03-31,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,March,2022
442,H.R. 7340,https://www.congress.gov/bill/117th-congress/house-bill/7340,117th Congress (2021-2022),To provide for congressional oversight of certain sanctions imposed with respect to the Russian Federation.,"Rep. Meuser, Daniel [R-PA-9]",2022-03-31,,"House - Foreign Affairs, Judiciary",Ordered to be Reported by Voice Vote.,introduced,Reupblican,March,2022
443,H.R. 7339,https://www.congress.gov/bill/117th-congress/house-bill/7339,117th Congress (2021-2022),Responsible BUILD Act,"Rep. Meijer, Peter [R-MI-3]",2022-03-31,,"House - Transportation and Infrastructure, Oversight and Reform","Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.",introduced,Reupblican,March,2022
444,H.R. 7334,https://www.congress.gov/bill/117th-congress/house-bill/7334,117th Congress (2021-2022),COVID–19 EIDL Fraud Statute of Limitations Act of 2022,"Rep. Luetkemeyer, Blaine [R-MO-3]",2022-03-31,,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,introduced,Reupblican,March,2022
445,H.R. 7332,https://www.congress.gov/bill/117th-congress/house-bill/7332,117th Congress (2021-2022),North Korean Human Rights Reauthorization Act of 2022,"Rep. Kim, Young [R-CA-39]",2022-03-31,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,March,2022
446,H.R. 7330,https://www.congress.gov/bill/117th-congress/house-bill/7330,117th Congress (2021-2022),Keeping Israel Safe from Iranian Proxies Act,"Rep. Jackson, Ronny [R-TX-13]",2022-03-31,,"House - Armed Services, Foreign Affairs","Referred to the Committee on Armed Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,March,2022
447,H.R. 7328,https://www.congress.gov/bill/117th-congress/house-bill/7328,117th Congress (2021-2022),Stablecoin Transparency Act,"Rep. Hollingsworth, Trey [R-IN-9]",2022-03-31,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,March,2022
448,H.R. 7327,https://www.congress.gov/bill/117th-congress/house-bill/7327,117th Congress (2021-2022),Protecting Rural Renters Act of 2022,"Rep. Hill, J. French [R-AR-2]",2022-03-31,,House - Financial Services,Sponsor introductory remarks on measure. (CR H4119),introduced,Reupblican,March,2022
449,H.R. 7325,https://www.congress.gov/bill/117th-congress/house-bill/7325,117th Congress (2021-2022),Countering Chinese Espionage Reporting Act,"Rep. Fitzgerald, Scott [R-WI-5]",2022-03-31,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,March,2022
450,H.R. 7324,https://www.congress.gov/bill/117th-congress/house-bill/7324,117th Congress (2021-2022),Gas Prices Relief Act of 2022,"Rep. Fischbach, Michelle [R-MN-7]",2022-03-31,,"House - Oversight and Reform, Judiciary","Referred to the Committee on Oversight and Reform, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,March,2022
451,H.R. 7319,https://www.congress.gov/bill/117th-congress/house-bill/7319,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 33 Coxe Avenue, in Asheville, North Carolina, as the ""Dorothy Hansine Andersen Post Office"".","Rep. Cawthorn, Madison [R-NC-11]",2022-03-31,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,March,2022
